Quality,RuleText
-0.142857149,(AGE < 6.5) & (TEMPI < 35.4500008) & (AGE < 7.5) & (AGE < 8.5)
0.0285714306,AGE >= 6.5 & (TEMPI < 35.4500008) & (AGE < 7.5) & (AGE < 8.5)
-0.195869386,TEMPI < 37.8499985 & TEMPI >= 35.4500008 & (AGE < 7.5) & (AGE < 8.5)
0.129411772,TEMPI < 37.3499985 & (DM >= 0.5) & TEMPI >= 36.9500008 & AGE >= 8.5
-0.174418613,DM < 0.5 & (TEMPI >= 37.8499985) & TEMPI >= 35.4500008 & (AGE < 7.5) & (AGE < 8.5)
-0.171257481,SBP < 10.000001 & (DEMEN < 0.5) & TEMPI < 37.75 & AGE >= 7.5 & (AGE < 8.5)
0.0666666701,(SBP >= 10.000001) & (DEMEN < 0.5) & TEMPI < 37.75 & AGE >= 7.5 & (AGE < 8.5)
0.0666666701,TEMPI < 36.0499992 & DEMEN >= 0.5 & TEMPI < 37.75 & AGE >= 7.5 & (AGE < 8.5)
0.0222222228,TEMPI < 38.2000008 & (SBP < 1.5) & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
0.0909090936,(TEMPI >= 38.2000008) & (SBP < 1.5) & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
0.0,(DEMEN >= 0.5) & SBP < 1.5 & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
-0.126530617,(TEMPI >= 36.1500015) & (SBP >= 1.5) & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
-0.0933333337,(SBP >= 3.5) & SBP < 4.5 & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
-0.0222222228,DBP < 2.5 & (SBP >= 4.5) & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
0.0222222228,DEMEN < 0.5 & (TEMPI >= 37.9500008) & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
0.100000001,(DEMEN >= 0.5) & (TEMPI >= 37.9500008) & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
-0.0545454584,TEMPI < 37.9000015 & (TEMPI >= 37.3499985) & (DM >= 0.5) & TEMPI >= 36.9500008 & AGE >= 8.5
0.0666666701,(TEMPI >= 37.9000015) & (TEMPI >= 37.3499985) & (DM >= 0.5) & TEMPI >= 36.9500008 & AGE >= 8.5
-0.138461545,DBP < 2.5 & (DM >= 0.5) & (TEMPI >= 37.8499985) & TEMPI >= 35.4500008 & (AGE < 7.5) & (AGE < 8.5)
-0.0476190485,(DBP >= 2.5) & (DM >= 0.5) & (TEMPI >= 37.8499985) & TEMPI >= 35.4500008 & (AGE < 7.5) & (AGE < 8.5)
-0.115789473,SBP < 3.5 & (TEMPI >= 36.0499992) & DEMEN >= 0.5 & TEMPI < 37.75 & AGE >= 7.5 & (AGE < 8.5)
-0.0105263162,(SBP >= 3.5) & (TEMPI >= 36.0499992) & DEMEN >= 0.5 & TEMPI < 37.75 & AGE >= 7.5 & (AGE < 8.5)
-0.127272725,DBP < 2.5 & DM < 0.5 & SBP >= 1.5 & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
-0.0285714306,(DBP >= 2.5) & DM < 0.5 & SBP >= 1.5 & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
0.0666666701,TEMPI < 37.9500008 & (DM >= 0.5) & SBP >= 1.5 & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
-0.0352941193,(TEMPI >= 37.9500008) & (DM >= 0.5) & SBP >= 1.5 & (TEMPI >= 37.75) & AGE >= 7.5 & (AGE < 8.5)
-0.0153846163,TEMPI < 36.6500015 & DEMEN < 0.5 & SBP < 1.5 & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
-0.0666666701,(TEMPI >= 36.6500015) & DEMEN < 0.5 & SBP < 1.5 & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
0.0500000007,DEMEN < 0.5 & TEMPI < 36.1500015 & (SBP >= 1.5) & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
-0.0400000028,(DEMEN >= 0.5) & TEMPI < 36.1500015 & (SBP >= 1.5) & DM < 0.5 & (TEMPI < 36.9500008) & AGE >= 8.5
-0.0363636389,SBP < 2.5 & SBP < 3.5 & SBP < 4.5 & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
0.0153846163,(SBP >= 2.5) & SBP < 3.5 & SBP < 4.5 & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
0.0,(TEMPI < 36.4000015) & (DBP >= 2.5) & (SBP >= 4.5) & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
0.100000001,TEMPI >= 36.4000015 & (DBP >= 2.5) & (SBP >= 4.5) & (DM >= 0.5) & (TEMPI < 36.9500008) & AGE >= 8.5
0.0800000057,TEMPI < 37.25 & SBP < 1.5 & TEMPI < 37.9500008 & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
0.0,(TEMPI >= 37.25) & SBP < 1.5 & TEMPI < 37.9500008 & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
-0.0742857158,(DBP < 3.5) & (SBP >= 1.5) & TEMPI < 37.9500008 & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
0.0666666701,DBP >= 3.5 & (SBP >= 1.5) & TEMPI < 37.9500008 & DM < 0.5 & TEMPI >= 36.9500008 & AGE >= 8.5
-0.177437037,(DM < 0.5) & (SOB < 0.5) & (DEMEN < 0.5)
-0.120920673,(HRI < 70.5) & SOB < 0.5 & DEMEN >= 0.5
0.149693161,SEX >= 0.5 & (SOB >= 0.5) & DEMEN >= 0.5
0.00223403238,(HRI >= 90) & (SEX < 0.5) & (SOB >= 0.5) & DEMEN >= 0.5
-0.0737818405,HRI < 61.5 & HRI < 112.5 & DM >= 0.5 & (SOB < 0.5) & (DEMEN < 0.5)
-0.160801336,(HRI >= 61.5) & HRI < 112.5 & DM >= 0.5 & (SOB < 0.5) & (DEMEN < 0.5)
-0.111301579,HRI >= 116.5 & (HRI >= 112.5) & DM >= 0.5 & (SOB < 0.5) & (DEMEN < 0.5)
-0.030792309,HRI < 58.5 & DM < 0.5 & HRI < 104.5 & SOB >= 0.5 & (DEMEN < 0.5)
0.0255806092,(DBP >= 3.5) & (DM >= 0.5) & HRI < 104.5 & SOB >= 0.5 & (DEMEN < 0.5)
0.127413735,(DBP < 1.5) & SEX >= 0.5 & (HRI >= 104.5) & SOB >= 0.5 & (DEMEN < 0.5)
-0.0646724626,(DBP >= 2.5) & HRI < 77.5 & HRI >= 70.5 & SOB < 0.5 & DEMEN >= 0.5
-0.122332625,(SEX < 0.5) & (HRI >= 77.5) & HRI >= 70.5 & SOB < 0.5 & DEMEN >= 0.5
0.0196998492,HRI < 73 & HRI < 90 & (SEX < 0.5) & (SOB >= 0.5) & DEMEN >= 0.5
0.0789788291,(HRI >= 73) & HRI < 90 & (SEX < 0.5) & (SOB >= 0.5) & DEMEN >= 0.5
0.0460694544,(SEX < 0.5) & (HRI < 116.5) & (HRI >= 112.5) & DM >= 0.5 & (SOB < 0.5) & (DEMEN < 0.5)
-0.0255869608,SEX >= 0.5 & (HRI < 116.5) & (HRI >= 112.5) & DM >= 0.5 & (SOB < 0.5) & (DEMEN < 0.5)
-0.158661857,(SEX < 0.5) & (HRI >= 58.5) & DM < 0.5 & HRI < 104.5 & SOB >= 0.5 & (DEMEN < 0.5)
-0.123718776,SEX >= 0.5 & (HRI >= 58.5) & DM < 0.5 & HRI < 104.5 & SOB >= 0.5 & (DEMEN < 0.5)
-0.0433236286,HRI < 82.5 & DBP < 3.5 & (DM >= 0.5) & HRI < 104.5 & SOB >= 0.5 & (DEMEN < 0.5)
