Quality,RuleText
0.100000001,HCT < 35.5499992 & ACC >= 0.5 & (AGE < 7.5)
-0.0222222228,(HCT >= 35.5499992) & ACC >= 0.5 & (AGE < 7.5)
0.0800000057,(ACC >= 0.5) & (HCT >= 29.75) & SOB < 0.5 & AGE >= 7.5
0.1586207,(BMI >= 3.5) & (SBP < 1.5) & (SOB >= 0.5) & AGE >= 7.5
0.0,(PLT >= 91500) & SOB < 0.5 & PLT < 97500 & (ACC < 0.5) & (AGE < 7.5)
-0.0400000028,(AGE < 6.5) & (SOB >= 0.5) & PLT < 97500 & (ACC < 0.5) & (AGE < 7.5)
0.111111119,AGE >= 6.5 & (SOB >= 0.5) & PLT < 97500 & (ACC < 0.5) & (AGE < 7.5)
-0.107692316,HRI < 102.5 & HCT < 26.25 & (PLT >= 97500) & (ACC < 0.5) & (AGE < 7.5)
0.0500000007,(HRI >= 102.5) & HCT < 26.25 & (PLT >= 97500) & (ACC < 0.5) & (AGE < 7.5)
-0.197736755,(SOB < 0.5) & (HCT >= 26.25) & (PLT >= 97500) & (ACC < 0.5) & (AGE < 7.5)
0.13333334,(SBP >= 2.5) & (PLT < 207500) & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
0.0500000007,(PLT >= 401000) & PLT >= 207500 & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
0.0666666701,HCT < 33.4499969 & BMI < 3.5 & (SBP < 1.5) & (SOB >= 0.5) & AGE >= 7.5
0.114285722,(HRI >= 93) & PLT < 141500 & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.0400000028,HCT < 31.2000008 & PLT < 91500 & SOB < 0.5 & PLT < 97500 & (ACC < 0.5) & (AGE < 7.5)
-0.171428576,(HCT >= 31.2000008) & PLT < 91500 & SOB < 0.5 & PLT < 97500 & (ACC < 0.5) & (AGE < 7.5)
-0.177077368,(HRI < 128.5) & SOB >= 0.5 & (HCT >= 26.25) & (PLT >= 97500) & (ACC < 0.5) & (AGE < 7.5)
-0.0222222228,HRI >= 128.5 & SOB >= 0.5 & (HCT >= 26.25) & (PLT >= 97500) & (ACC < 0.5) & (AGE < 7.5)
0.0500000007,(AGE < 8.5) & SBP < 2.5 & (PLT < 207500) & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
-0.0500000007,AGE >= 8.5 & SBP < 2.5 & (PLT < 207500) & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
-0.152941182,HCT < 28.7000008 & PLT < 401000 & PLT >= 207500 & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
0.0,(HCT >= 28.7000008) & PLT < 401000 & PLT >= 207500 & HCT < 29.75 & SOB < 0.5 & AGE >= 7.5
-0.144444451,(AGE < 8.5) & PLT < 170500 & ACC < 0.5 & (HCT >= 29.75) & SOB < 0.5 & AGE >= 7.5
-0.0339622647,AGE >= 8.5 & PLT < 170500 & ACC < 0.5 & (HCT >= 29.75) & SOB < 0.5 & AGE >= 7.5
0.0,(HRI < 48.5) & (PLT >= 170500) & ACC < 0.5 & (HCT >= 29.75) & SOB < 0.5 & AGE >= 7.5
-0.172375694,HRI >= 48.5 & (PLT >= 170500) & ACC < 0.5 & (HCT >= 29.75) & SOB < 0.5 & AGE >= 7.5
-0.0500000007,PLT < 218500 & (HCT >= 33.4499969) & BMI < 3.5 & (SBP < 1.5) & (SOB >= 0.5) & AGE >= 7.5
0.0,(PLT >= 218500) & (HCT >= 33.4499969) & BMI < 3.5 & (SBP < 1.5) & (SOB >= 0.5) & AGE >= 7.5
0.0666666701,HCT < 37.4000015 & HRI < 93 & PLT < 141500 & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.0666666701,(HCT >= 37.4000015) & HRI < 93 & PLT < 141500 & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.0666666701,HRI < 80.5 & (AGE < 8.5) & (PLT >= 141500) & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.148936167,(HRI >= 80.5) & (AGE < 8.5) & (PLT >= 141500) & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
0.0193548389,PLT < 271000 & AGE >= 8.5 & (PLT >= 141500) & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.105882362,(PLT >= 271000) & AGE >= 8.5 & (PLT >= 141500) & SBP >= 1.5 & (SOB >= 0.5) & AGE >= 7.5
-0.0704573467,(SEX < 0.5) & LYMPHO < 5.25 & (AGE < 7.5) & LYMPHO < 13.25
